ticker,company,revenue,net_income,rd_expense,capex,interest_expense,total_assets,total_debt,ebitda,etr,foreign_income,utp,rank1_issue,rank1_score,rank1_signals,rank2_issue,rank2_score,rank3_issue,rank3_score,data_source
MSFT,Microsoft Corporation,$281.72B,$101.83B,$32.49B,$64.55B,$2.38B,$619.00B,$43.15B,$160.16B,17.6%,$54.41B,$24.73B,R&E Immediate Expensing,90,R&D >$32.5B; Foreign income (foreign R&E 15-yr amortization still applies),IRS Audit Risk,85,Pillar Two / GIR,80,Yahoo Finance (yfinance) FY2025 + SEC EDGAR supplemental (CIK 0000789019)
AMZN,"Amazon.com, Inc.",$716.92B,$77.67B,N/A,$131.82B,$2.27B,$818.04B,$65.65B,$165.34B,N/A,$7.77B,$6.57B,IRS Audit Risk,85,Total assets >$818B (prime IRS large business target); Unrecognized tax benefits (UTP) >$6566M,Pillar Two / GIR,80,CAMT ($1B Book Income),80,Yahoo Finance (yfinance) FY2025 + SEC EDGAR supplemental (CIK 0001018724)
PFE,Pfizer Inc.,$62.58B,$7.77B,$12.05B,$2.63B,$2.67B,$208.16B,$63.96B,$16.78B,-3.5%,$6.74B,$4.75B,Pillar Two / GIR,100,Foreign income >$6.7B (above GloBE threshold); Effective tax rate -3.5% — below 15% GloBE minimum,CAMT ($1B Book Income),100,R&E Immediate Expensing,90,Yahoo Finance (yfinance) FY2025 + SEC EDGAR supplemental (CIK 0000078003)
CAT,Caterpillar Inc.,$67.59B,$8.88B,$2.15B,$4.29B,$502.0M,$98.58B,$43.32B,$14.30B,23.8%,$6.13B,$1.35B,R&E Immediate Expensing,90,R&D >$2.1B; Foreign income (foreign R&E 15-yr amortization still applies),IRS Audit Risk,85,Transfer Pricing,85,Yahoo Finance (yfinance) FY2025 + SEC EDGAR supplemental (CIK 0000018230)
GE,GE Aerospace,$45.85B,$8.70B,$1.58B,$1.27B,$843.0M,$130.17B,$20.50B,$12.06B,13.9%,$3.34B,$3.06B,Pillar Two / GIR,100,Foreign income >$3.3B (above GloBE threshold); Effective tax rate 13.9% — below 15% GloBE minimum,R&E Immediate Expensing,90,IRS Audit Risk,85,Yahoo Finance (yfinance) FY2025 + SEC EDGAR supplemental (CIK 0000040545)
JPM,JPMorgan Chase & Co.,$181.85B,$57.05B,N/A,N/A,$97.90B,$4424.90B,$499.98B,$179.31B,21.4%,$16.41B,$5.62B,Interest Deduction (163j),95,Interest expense >$97898M; Interest/EBITDA ratio 55% — high leverage; Long-term debt >$500.0B,IRS Audit Risk,85,Pillar Two / GIR,80,Yahoo Finance (yfinance) FY2025 + SEC EDGAR supplemental (CIK 0000019617)
WMT,Walmart Inc.,$713.16B,$21.89B,N/A,$26.64B,$2.80B,$284.67B,$44.76B,$46.47B,24.7%,$6.20B,$2.44B,IRS Audit Risk,85,Total assets >$285B (prime IRS large business target); Unrecognized tax benefits (UTP) >$2440M,Transfer Pricing,85,Pillar Two / GIR,80,Yahoo Finance (yfinance) FY2026 + SEC EDGAR supplemental (CIK 0000104169)
XOM,Exxon Mobil Corporation,$323.90B,$28.84B,N/A,$28.36B,$603.0M,$448.98B,$37.22B,$67.86B,28.5%,$30.27B,$4.13B,IRS Audit Risk,85,Total assets >$449B (prime IRS large business target); Unrecognized tax benefits (UTP) >$4131M,Transfer Pricing,85,Pillar Two / GIR,80,Yahoo Finance (yfinance) FY2025 + SEC EDGAR supplemental (CIK 0000034088)
BA,The Boeing Company,$89.46B,$2.23B,$3.62B,$2.95B,$2.77B,$168.24B,$53.85B,$7.36B,15.1%,$6.13B,$1.02B,Interest Deduction (163j),95,Interest expense >$2771M; Interest/EBITDA ratio 38% — high leverage; Long-term debt >$53.8B,R&E Immediate Expensing,90,IRS Audit Risk,85,Yahoo Finance (yfinance) FY2025 + SEC EDGAR supplemental (CIK 0000012927)
MCD,McDonald's Corporation,$26.89B,$8.56B,N/A,$3.37B,$1.58B,$59.52B,$39.97B,$14.68B,21.4%,$7.61B,$414.0M,IRS Audit Risk,85,Total assets >$60B (prime IRS large business target); Unrecognized tax benefits (UTP) >$414M,Pillar Two / GIR,80,CAMT ($1B Book Income),80,Yahoo Finance (yfinance) FY2025 + SEC EDGAR supplemental (CIK 0000063908)
